09/10/2017,3.211
10/10/2017,3.21697
11/10/2017,3.205
12/10/2017,
13/10/2017,3.185015
14/10/2017,
15/10/2017,
16/10/2017,3.1985
17/10/2017,3.209794
18/10/2017,3.204748
19/10/2017,3.199544
20/10/2017,3.210792
21/10/2017,
22/10/2017,
23/10/2017,3.2445
24/10/2017,3.2755
25/10/2017,3.282954
26/10/2017,3.30575
27/10/2017,3.2905
28/10/2017,
29/10/2017,
30/10/2017,3.292
31/10/2017,3.2997
01/11/2017,
02/11/2017,
03/11/2017,3.33825
04/11/2017,
05/11/2017,
06/11/2017,
07/11/2017,
08/11/2017,
09/11/2017,3.277
10/11/2017,
11/11/2017,
12/11/2017,
13/11/2017,3.32895
14/11/2017,
15/11/2017,
16/11/2017,
17/11/2017,3.290833
18/11/2017,
19/11/2017,
20/11/2017,
21/11/2017,3.281
22/11/2017,3.26275
23/11/2017,
24/11/2017,
25/11/2017,
26/11/2017,
27/11/2017,3.24
28/11/2017,3.232696
29/11/2017,3.237258
30/11/2017,3.294325
01/12/2017,3.29
02/12/2017,
03/12/2017,
04/12/2017,3.2775
05/12/2017,3.2585
06/12/2017,
07/12/2017,3.31045
08/12/2017,
09/12/2017,
10/12/2017,
11/12/2017,3.312917
12/12/2017,3.3455
13/12/2017,
14/12/2017,3.36675
15/12/2017,3.326
16/12/2017,
17/12/2017,
18/12/2017,
19/12/2017,
20/12/2017,3.313917
21/12/2017,3.330286
22/12/2017,3.341282
23/12/2017,
24/12/2017,
25/12/2017,
26/12/2017,
27/12/2017,3.322571
28/12/2017,3.325748
29/12/2017,
30/12/2017,
31/12/2017,
